sap,primitive,path,sapmsg_variant,constructed,handled,tests,status
CONTROL,CmceSdsData,crates/tetra-saps/src/control/sds.rs,ja,4,3,16,bidirektional sichtbar
CONTROL,MmSubscriberUpdate,crates/tetra-saps/src/control/brew.rs,ja,12,5,12,bidirektional sichtbar
LCMC,LcmcMleActivityReq,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleBreakInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleBusyInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleCancelReq,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleCloseInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleConfigureInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleConfigureReq,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleDisableInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleEnableInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleIdentitiesReq,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleIdleInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleInfoInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleOpenInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleReopenInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleReportInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleRestoreConf,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleRestoreReq,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleResumeInd,crates/tetra-saps/src/lcmc/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LCMC,LcmcMleUnitdataInd,crates/tetra-saps/src/lcmc/mod.rs,ja,3,27,26,bidirektional sichtbar
LCMC,LcmcMleUnitdataReq,crates/tetra-saps/src/lcmc/mod.rs,ja,18,5,22,bidirektional sichtbar
LMM,LmmMleActivateConf,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleActivateInd,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleActivateReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleActivityReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleBusyReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
